Western University,43.011839514671195,-81.27365570394112
Huron University College,43.01004419166534,-81.2772207658445
Victoria Park,42.991723596438746,-81.24874774057835
Sifton Bog,42.97527680570632,-81.3230244789228
CF Masonville Place,43.02671757071949,-81.27488009808062
Brescia University College,43.005545026489784,-81.2811664629322
Talbot College, 43.00862601212278,-81.27026563877466
Museum Strathroy Caradoc,42.96232311150279,-81.61069111388984
Highland Country Club,42.95727053597692,-81.24401961788622
Thames Valley Golf Club,42.96581295030544,-81.29946624548039
Gibbons Park,43.00147726973779,-81.2594691430916
Junction Climbing Centre,42.99921746926088,-81.2187853957766
City Wide Sports Park,42.968073978939216,-81.18016158593119
Westminster Ponds,42.95036036324046,-81.21758376690572
